INDEX,,,5. EMPLOYMENT: Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,
32,5.2,32-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.9,90.3,95.5,82.5,79.6,..,89.0,89.0,88.5,92.2,..,..,..,,,,,,,,,,,,
32,5.3,32-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
32,5.4,32-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,460.7,452.7,461.4,495.1,475.8,..,485.5,505.4,518.1,509.4,..,..,..,,,,,,,,,,,,
32,5.5,32-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,209.7,210.9,217.6,233.0,217.7,..,205.0,206.8,195.7,185.6,..,..,..,,,,,,,,,,,,
32,5.6,32-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.5,30.5,31.1,29.9,..,..,..,,,,,,,,,,,,
32,5.7,32-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,227.3,236.0,228.0,251.1,240.8,..,437.2,442.2,437.8,442.4,..,..,..,,,,,,,,,,,,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5.1,51-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
51,5.2,51-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
51,5.3,51-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
51,5.4,51-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
51,5.5,51-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
51,5.6,51-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
51,5.7,51-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,5.1,533-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
533,5.2,533-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
533,5.3,533-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
533,5.4,533-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
533,5.5,533-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
533,5.6,533-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
533,5.7,533-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of employees by tourism industries,,,,,1/ 2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 2010: change in the series.
2/ Source: Cat. 5249.0 - Australian National Accounts: Tourism Satellite Account, Table 18 and table 19 Direct Tourism filled jobs by Industry. As of June 30. The series should now be titled: ""Number of Filled Jobs in Section % of the Table as  Tourism Industries"" as Tourism Satellite Accounts now report on Tourism Filled jobs rather than employed persons so the series have been revised reflect the new measure which is different to what was reported in the past.",,,,,,,,,,,
36,5.1,36-5.1,,,Total,,,Thousands,,..,..,..,..,..,..,..,..,..,..,521.8,517.1,527.3,528.7,531.1,546.3,553.1,564.9,586.2,589.7,611.7,636.5,649.6,689.6,701.1,603.8,412.6,501.4,,,,,,,,,,,,
36,5.2,36-5.2,,,,Accommodation services for visitors (hotels and similar establishments),,Thousands,,..,..,..,..,..,..,..,..,..,..,93.6,83.5,86.8,85.9,82.0,85.4,87.7,92.0,95.0,92.7,89.2,92.9,91.7,91.9,85.3,88.2,54.4,72.8,,,,,,,,,,,,
36,5.3,36-5.3,,,,Other accommodation services,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
36,5.4,36-5.4,,,,Food and beverage serving activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,168.5,168.1,173.1,172.4,180.5,189.5,186.1,192.0,204.2,203.6,221.9,235.7,241.9,265.5,269.1,230.7,189.4,214.6,,,,,,,,,,,,
36,5.5,36-5.5,,,,Passenger transportation,,Thousands,,..,..,..,..,..,..,..,..,..,..,43.5,45.5,43.5,44.4,43.8,44.1,44.1,45.8,48.7,47.6,46.9,48.4,49.0,51.5,54.3,50.2,33.6,39.6,,,,,,,,,,,,
36,5.6,36-5.6,,,,Travel agencies and other reservation services activities,,Thousands,,..,..,..,..,..,..,..,..,..,..,26.2,27.1,29.2,30.7,28.0,29.4,32.4,34.2,36.0,36.1,35.1,34.7,33.2,35.4,35.3,28.7,21.5,30.7,,,,,,,,,,,,
36,5.7,36-5.7,,,,Other tourism industries,,Thousands,,..,..,..,..,..,..,..,..,..,..,190.0,192.9,194.7,195.3,196.8,197.9,202.8,200.9,202.3,209.7,218.6,224.8,233.8,245.3,257.1,206.0,113.7,143.7,,,,,,,,,,,,
