INDEX,,,3. OUTBOUND TOURISM: Tourism expenditure in other countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3.4,48-3.4,,Tourism expenditure in other countries,,,,US$ Millions,1/,IMF,320,298,318,327,395,425,423,550,492,528,574,639,671,704,597,684,899,975,"1,001",758,"4,939","3,267","3,178","2,522","2,637",844,..,..,"1/ From 2015 the expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
48,3.5,48-3.5,,,Travel,,,US$ Millions,1/,IMF,122,109,122,142,212,224,250,380,372,387,414,455,479,503,408,506,718,814,839,611,"4,342","2,383","2,300","1,659","1,720",485,..,..,
48,3.6,48-3.6,,,Passenger transport,,,US$ Millions,1/,IMF,198,189,196,185,183,201,173,170,120,141,160,184,192,201,189,178,181,161,162,147,597,884,878,863,917,359,..,..,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3.4,50-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,251,314,294,375,471,341,309,389,442,371,481,530,735,651,835,819,889,"1,308",782,827,843,"1,127","1,207","1,389",618,891,"1,889",
50,3.5,50-3.5,,,Travel,,,US$ Millions,,IMF,234,135,178,151,211,290,165,113,165,161,141,142,156,184,249,261,332,304,350,400,427,484,603,755,920,394,629,"1,326",
50,3.6,50-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,116,136,143,164,181,176,196,224,281,230,339,374,551,402,574,487,585,958,382,400,359,524,452,469,224,263,563,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3.4,52-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,110,114,120,126,132,141,149,146,153,163,158,166,177,154,128,145,114,100,102,115,119,99,51,..,..,..,..,..,
52,3.5,52-3.5,,,Travel,,,US$ Millions,,IMF,71,74,79,82,87,94,101,99,104,108,101,104,99,80,71,71,71,58,59,49,56,53,51,..,..,..,..,..,
52,3.6,52-3.6,,,Passenger transport,,,US$ Millions,,IMF,39,40,41,44,45,47,48,47,49,55,57,62,78,74,57,74,43,42,43,66,63,46,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
