INDEX,,,1. INBOUND TOURISM: Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
20,1.29,20-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,1.30,20-1.30,,,,Overnights,,Thousands,,..,..,..,..,"6,491","8,628","9,809","9,336","7,745","7,322","6,762","6,284","6,512","5,900","4,778","5,230","6,515","6,636","6,976","6,780","8,111","8,301","8,738","8,906","8,888","5,796","5,052","10,422",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.31,20-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,1.32,20-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,"6,765","5,581","5,525","5,199","4,911","4,644","4,298","3,522","3,800","4,579","4,705","4,882","4,654","5,207","5,265","5,608","5,486","5,669","3,151","2,779","6,486",
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotels only.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.29,24-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,99,127,83,122,185,454,465,533,569,652,567,545,371,600,782,600,30,83,424,
24,1.30,24-1.30,,,,Overnights,,Thousands,,..,33,89,95,48,77,112,207,217,149,182,231,340,386,"1,899","2,856","1,436","1,429","1,754","1,769","1,612","1,478","1,432","1,344",904,57,146,721,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.31,24-1.31,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,92,120,64,91,126,288,319,401,422,481,409,400,264,339,428,339,20,67,275,
24,1.32,24-1.32,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,183,212,143,176,199,292,260,"1,054","2,544","1,155","1,119","1,372","1,230","1,198",946,846,564,478,40,120,482,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.29,660-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,1.30,660-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.31,660-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,1.32,660-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air. Excluding nationals residing abroad.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.29,28-1.29,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,246,245,254,262,266,234,230,241,247,243,249,250,265,247,269,301,125,169,265,
28,1.30,28-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.31,28-1.31,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,185,179,182,188,196,177,178,189,..,199,..,..,216,..,219,242,106,151,222,
28,1.32,28-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotel Occupancy Survey (EOH).
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.29,32-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,1.30,32-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.31,32-1.31,,,,Guests,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,"4,065",..,"4,712","4,523","3,876","4,800","4,813","4,311","4,089","4,292","3,825","3,843","4,081","4,280","4,799","1,186",221,"2,684",
32,1.32,32-1.32,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,"9,482","9,782","10,905","10,573","8,955","11,537","11,170","10,111","9,737","10,299","9,067","8,900","9,496","9,921","10,916","2,659",508,"6,391",
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.29,51-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,1.30,51-1.30,,,,Overnights,,Thousands,,78,89,116,..,..,151,200,202,343,385,420,840,"1,780","2,500","4,025","6,830","7,580","9,632","10,842","11,500","10,073","12,597","14,947","16,517","18,943",..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.31,51-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,1.32,51-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,322",..,..,..,..,..,..,..,..,..,..,..,..,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.29,533-1.29,,,,Guests,,Thousands,1/,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,"1,072","1,225","1,102","1,071","1,082","1,119",358,807,"1,101",
533,1.30,533-1.30,,,,Overnights,,Thousands,,"4,473","4,714","4,843","4,890","5,142","5,248","5,145","4,863","5,098","5,640","5,695","5,471","5,879","6,268","6,173","6,466","6,686","6,907","7,127","7,693","8,330","7,976","7,967","8,070","8,248","2,896","6,009","7,992",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.31,533-1.31,,,,Guests,,Thousands,1/,515,514,574,572,592,629,611,567,568,647,653,619,688,728,719,728,736,764,797,815,816,815,848,853,875,279,627,829,
533,1.32,533-1.32,,,,Overnights,,Thousands,,"3,726","3,824","3,879","3,959","3,998","4,249","4,177","3,945","4,059","4,615","4,735","4,515","4,904","5,170","5,139","5,273","5,255","5,433","5,504","5,614","5,670","5,688","5,907","5,961","5,945","2,035","4,344","5,656",
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source: Tourism Research Australia - International Visitors Survey. Annual estimates - International visitors aged 15 years and over. Excluding private accommodation.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.29,36-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,900","3,703","3,874","3,725","3,821","4,011","4,223","4,484","5,080","5,389","5,554","5,574","1,068",185,"1,606",
36,1.30,36-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,"41,678","41,001","40,006","39,232","41,093","41,884","42,112","42,965","45,612","47,160","46,178","46,417","11,964","12,033","15,387",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.31,36-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,008","2,800","2,964","2,875","2,966","3,130","3,357","3,605","4,099","4,341","4,503","4,515",827,183,"1,324",
36,1.32,36-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,"23,509","22,172","22,649","22,193","22,548","22,779","24,612","26,354","29,265","29,985","30,299","30,087","8,219","11,996","10,345",
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Only paid accommodation; excluding stays at friends and relatives and second homes.
2/ Hotels only."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.29,40-1.29,,,,Guests,,Thousands,1/,"17,173","17,090","16,647","17,352","17,467","17,982","18,180","18,611","19,078","19,374","19,952","20,269","20,773","21,935","21,355","22,004","23,012","24,151","24,813","25,291","26,728","28,121","29,460","30,816","31,884","15,091","12,728","26,215",
40,1.30,40-1.30,,,,Overnights,,Thousands,1/,"86,991","84,217","80,593","81,867","82,424","82,534","83,669","85,792","86,348","85,922","87,741","87,274","88,443","92,840","89,864","89,857","90,706","95,052","96,874","96,233","98,824","102,863","105,977","110,430","112,765","66,280","49,964","98,031",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.31,40-1.31,,,,Guests,,Thousands,2/,"12,464","12,533","12,329","12,804","12,755","13,240","13,279","13,487","13,748","14,076","14,542","14,951","15,348","16,091","15,520","16,170","16,972","17,728","18,164","18,588","19,633","20,434","21,338","22,026","22,662","9,570","8,392","17,592",
40,1.32,40-1.32,,,,Overnights,,Thousands,2/,"56,198","55,126","53,396","53,507","53,123","53,617","54,086","55,167","55,200","55,163","56,690","57,133","57,882","60,469","57,798","58,315","59,147","61,360","62,137","61,830","63,355","65,244","66,642","68,331","69,375","36,389","28,397","57,283",
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.29,31-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,389","2,569",..,..,964,
31,1.30,31-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"11,476","11,853",..,..,"4,331",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.31,31-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,69,61,78,99,130,151,153,224,209,212,258,372,395,393,496,777,981,"1,234","1,317",267,272,908,
31,1.32,31-1.32,,,,Overnights,,Thousands,,..,..,67,143,..,..,161,233,287,515,540,557,573,637,561,568,674,803,822,803,959,"1,406","1,704","2,050","2,241",417,414,"1,394",
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotels only.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.29,44-1.29,,,,Guests,,Thousands,,..,..,..,..,..,"1,544","1,538","1,513","1,505","1,561","1,625","1,613","1,538","1,469","1,336","1,378","1,355","1,431","1,377","1,444","1,496","1,499","1,452","1,633","1,807",441,892,"1,452",
44,1.30,44-1.30,,,,Overnights,,Thousands,,"9,031","9,466","9,637",..,..,"9,048","8,973","8,704","8,927","9,888","10,340","10,308","10,091","9,724","9,080","9,183","9,169","9,684","9,409","9,643","10,003","10,135","10,193","10,857","11,315","3,133","5,949","8,855",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.31,44-1.31,,,,Guests,,Thousands,1/,..,..,..,..,..,"1,165","1,154","1,113","1,226","1,322","1,395","1,357","1,285","1,237","1,127","1,186","1,163","1,230","1,174","1,237","1,273","1,269","1,250","1,418","1,589",387,776,"1,279",
44,1.32,44-1.32,,,,Overnights,,Thousands,,"6,405",..,..,..,..,"5,124","5,034","4,953","7,282","8,106","8,527","8,359","8,099","7,843","7,304","7,500","7,493","7,952","7,688","7,946","8,241","8,260","8,435","9,108","9,605","2,646","5,038","7,605",
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Classified hotels only.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.29,48-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,964","3,990","4,372","4,367","3,849",827,"2,182","3,712",
48,1.30,48-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"8,966","10,987","12,344","12,795","13,177","2,938","8,086","13,034",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.31,48-1.31,,,,Guests,,Thousands,,408,529,759,547,569,758,787,686,695,"1,132","1,237","1,285","1,320","1,154","1,003",995,821,"1,014","1,069","1,431","2,905","3,077","3,893","4,009","3,502",833,"1,252","1,931",
48,1.32,48-1.32,,,,Overnights,,Thousands,1/,915,"1,123","1,563","1,287","1,263","1,764","1,571","1,386","1,290","2,290","2,224","2,477","2,494","2,368","1,964","1,899","1,550","1,835","1,990","2,103","6,682","8,616","10,898","10,916","11,158","2,035","3,842","4,283",
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.29,50-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,1.30,50-1.30,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.31,50-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,1.32,50-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.29,52-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,1.30,52-1.30,,,,Overnights,,Thousands,,"2,488","2,603","2,434","2,303","2,460","2,695","2,460","2,031","2,459","2,463",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.31,52-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,1.32,52-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data until 2015 without taking into account the Belarusian-Russian border segment. Data from 2016 including estimation of the Belarusian-Russian border segment.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.29,112-1.29,,,,Guests,,Thousands,1/,..,..,..,363,315,262,221,209,229,239,253,292,368,477,512,677,783,993,"1,003","1,080",966,"1,929","2,000","2,142","2,201",577,787,"1,492",
112,1.30,112-1.30,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,525","4,306","4,279","4,615","3,794","9,035","8,755","9,607","9,537","3,182","5,226","6,233",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.31,112-1.31,,,,Guests,,Thousands,,..,..,..,361,313,260,219,208,226,236,246,272,304,372,384,505,594,728,740,741,688,813,918,"1,037","1,116",320,402,797,
112,1.32,112-1.32,,,,Overnights,,Thousands,,..,..,..,793,721,630,517,496,538,575,597,688,791,"1,001","1,042","1,226","1,310","1,610","1,612","1,704","1,585","1,737","2,022","2,180","2,398",772,"1,102","1,677",
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Due to a change in the methodology, from 2015 the data are not comparable with those of previous years.
2/ Hotels only."
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.29,56-1.29,,,,Guests,,Thousands,1/,"5,560","5,829","6,037","6,179","6,369","6,457","6,452","6,720","6,690","6,710","6,747","6,995","7,045","7,165","6,815","7,186","7,494","7,560","7,684","7,887","8,355","7,481","8,385","9,119","9,343","2,584","3,243","8,220",
56,1.30,56-1.30,,,,Overnights,,Thousands,1/,"13,878","14,441","14,762","14,838","15,366","15,526","15,373","15,895","15,929","15,545","15,553","16,040","16,271","16,361","15,453","16,170","16,724","16,433","16,512","17,069","18,852","17,063","18,657","20,565","21,205","6,547","7,851","19,378",
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.31,56-1.31,,,,Guests,,Thousands,2/,"4,138","4,469","4,710","4,859","4,983","5,163","5,117","5,323","5,261","5,385","5,409","5,665","5,713","5,820","5,452","5,772","6,077","6,146","6,228","6,389","6,440","5,557","6,313","6,700","6,800","1,804","2,313","5,728",
56,1.32,56-1.32,,,,Overnights,,Thousands,2/,"7,895","8,695","9,267","9,483","9,749","10,184","10,011","10,410","10,280","10,315","10,297","10,634","10,976","11,120","10,337","10,854","11,436","11,546","11,624","12,082","12,035","10,215","11,632","12,424","12,669","3,480","4,341","10,916",
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Room nights.
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.29,84-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,1.30,84-1.30,,,,Overnights,,Thousands,1/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,622,693,774,824,808,181,786,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.31,84-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
84,1.32,84-1.32,,,,Overnights,,Thousands,,446,416,455,432,487,517,533,536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.29,204-1.29,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,1.30,204-1.30,,,,Overnights,,Thousands,,314,362,445,525,212,200,190,144,219,215,348,321,412,547,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,,,Hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.31,204-1.31,,,,Guests,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
204,1.32,204-1.32,,,,Overnights,,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,910,999,"1,059","1,212","1,372","1,336","1,403","1,473","1,547","1,624","1,705","1,791",..,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.29,60-1.29,,,,Guests,,Thousands,,387,390,380,370,355,332,278,284,257,272,270,299,306,264,236,232,236,232,236,224,220,244,270,282,269,42,72,146,
