INDEX,,,1. INBOUND TOURISM: Tourism expenditure in the country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
24,1.33,24-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,27,38,24,39,31,34,35,51,63,82,103,91,236,293,554,726,653,711,"1,241","1,597","1,171",628,884,557,395,19,23,24,1/ 1995-2001: country data.
24,1.34,24-1.34,,,Travel,,,US$ Millions,1/,IMF,10,9,9,8,13,18,22,37,49,66,88,75,225,285,534,719,646,706,"1,234","1,589","1,163",623,880,544,384,16,22,20,
24,1.35,24-1.35,,,Passenger transport,,,US$ Millions,,IMF,17,29,15,31,18,16,13,14,14,16,15,16,11,8,20,7,7,5,7,8,8,5,4,13,11,3,1,5,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.33,660-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,137,142,147,153,127,177,52,63,140,
660,1.34,660-1.34,,,Travel,,,US$ Millions,,IMF,50,51,60,62,58,56,62,57,64,69,86,107,115,109,94,99,112,113,122,136,134,136,141,118,168,48,59,134,
660,1.35,660-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,8,11,12,9,9,4,5,6,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.33,28-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,803,802,844,820,855,994,430,556,818,
28,1.34,28-1.34,,,Travel,,,US$ Millions,,IMF,247,258,278,282,290,291,272,274,300,337,309,327,338,334,305,298,312,319,299,708,710,753,737,776,904,412,539,773,
28,1.35,28-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95,92,91,83,79,90,18,17,45,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.33,32-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"2,550","2,975","3,153","3,353","3,175","3,195","2,756","1,716","2,306","2,660","3,209","3,926","5,030","5,273","4,455","5,605","6,058","5,665","5,199","5,645","5,441","5,466","5,830","5,999","5,654","1,793",433,"3,694","1/  Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
32,1.34,32-1.34,,,Travel,,,US$ Millions,1/,IMF,"2,222","2,621","2,778","3,025","2,898","2,904","2,642","1,535","2,006","2,235","2,729","3,351","4,325","4,664","3,989","4,989","5,431","5,014","4,525","4,960","4,927","4,967","5,370","5,563","5,241","1,727",394,"3,474",
32,1.35,32-1.35,,,Passenger transport,,,US$ Millions,,IMF,328,354,375,328,277,291,114,181,300,425,480,575,705,609,466,616,627,651,674,685,514,499,460,436,413,66,39,220,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.33,51-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,14,18,33,41,47,52,81,81,90,189,243,406,522,564,570,694,762,853,905,994,956,"1,037","1,224","1,358","1,553",297,813,"2,513",
51,1.34,51-1.34,,,Travel,,,US$ Millions,,IMF,1,12,20,24,31,38,65,63,73,172,223,370,484,518,530,646,722,817,880,966,936,"1,017","1,204","1,329","1,528",287,784,"2,439",
51,1.35,51-1.35,,,Passenger transport,,,US$ Millions,,IMF,13,6,13,17,16,14,16,18,17,17,20,36,38,46,40,48,40,36,25,28,20,20,20,29,25,10,29,74,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.33,533-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,554,666,726,786,782,850,825,835,858,"1,057","1,097","1,064","1,213","1,352","1,223","1,254","1,358","1,412","1,506","1,625","1,659","1,757","1,855","2,035","2,109","1,079","1,788","2,305",
533,1.34,533-1.34,,,Travel,,,US$ Millions,,IMF,521,620,689,741,729,814,822,834,858,"1,057","1,097","1,064","1,213","1,351","1,222","1,251","1,351","1,402","1,495","1,605","1,650","1,757","1,855","2,033","2,104","1,078","1,785","2,303",
533,1.35,533-1.35,,,Passenger transport,,,US$ Millions,,IMF,33,46,37,45,53,36,3,1,0,..,..,0,0,1,1,3,7,10,11,20,9,..,..,2,5,1,3,2,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.33,36-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"10,370","11,882","11,735","10,169","11,408","11,594","11,333","12,148","14,981","18,032","19,719","20,408","25,024","27,189","26,909","31,064","34,315","34,137","35,159","37,996","36,249","39,059","43,990","47,327","47,953","26,235","17,132","24,214",
36,1.34,36-1.34,,,Travel,,,US$ Millions,,IMF,"8,130","9,519","9,456","8,130","9,258","9,375","9,222","10,044","12,620","15,212","16,750","17,538","21,774","23,986","24,566","28,472","31,582","31,557","32,887","35,829","34,269","37,019","41,762","45,098","45,729","25,666","17,062","23,199",
36,1.35,36-1.35,,,Passenger transport,,,US$ Millions,,IMF,"2,240","2,363","2,279","2,039","2,150","2,219","2,111","2,104","2,361","2,820","2,969","2,870","3,250","3,203","2,343","2,592","2,733","2,580","2,272","2,167","1,980","2,040","2,228","2,229","2,224",569,70,"1,015",
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.33,40-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"14,529","13,980","12,275","12,694","12,358","11,382","11,511","12,334","15,128","17,251","18,471",..,..,..,..,..,..,..,..,..,"20,422","20,965","22,424","25,413","25,932","15,194","11,411","19,175",
40,1.34,40-1.34,,,Travel,,,US$ Millions,,IMF,"13,435","12,830","11,018","11,241","10,847","9,899","9,948","10,803","13,307","15,150","16,243","16,512","18,557","21,630","19,168","18,751","19,791","18,931","20,221","20,913","18,292","19,244","20,333","23,233","22,983","13,706","9,841","19,175",
40,1.35,40-1.35,,,Passenger transport,,,US$ Millions,,IMF,"1,094","1,150","1,257","1,453","1,511","1,483","1,563","1,531","1,821","2,101","2,228",..,..,..,..,..,..,..,..,..,"2,130","1,721","2,091","2,180","2,949","1,488","1,570",..,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.33,31-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,87,57,176,143,93,68,57,63,70,79,100,201,317,382,545,792,"1,500","2,634","2,618","2,713","2,535","2,855","3,214","2,830","2,004",340,368,942,
31,1.34,31-1.34,,,Travel,,,US$ Millions,,IMF,70,46,162,125,81,63,43,51,58,65,78,117,178,191,379,657,"1,287","2,433","2,365","2,432","2,309","2,714","3,012","2,634","1,792",304,313,823,
31,1.35,31-1.35,,,Passenger transport,,,US$ Millions,,IMF,17,11,14,18,12,5,14,12,12,14,22,84,139,191,166,135,213,201,253,281,226,141,202,196,213,36,55,119,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.33,44-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,"1,356","1,409","1,427","1,365","1,598","1,753","1,665","1,773","1,770","1,897","2,081","2,066","2,198","2,155","2,025","2,159","2,157","2,333","2,305","2,336","2,554","3,091","2,951","3,756","4,150",972,"2,334","3,524",
44,1.34,44-1.34,,,Travel,,,US$ Millions,,IMF,"1,346","1,398","1,416","1,354","1,583","1,738","1,648","1,760","1,757","1,884","2,071","2,056","2,187","2,144","2,014","2,147","2,142","2,311","2,285","2,316","2,537","3,074","2,930","3,728","4,125",967,"2,322","3,515",
44,1.35,44-1.35,,,Passenger transport,,,US$ Millions,,IMF,10,11,11,11,15,15,17,13,13,13,10,10,11,11,11,12,15,22,20,20,17,17,21,28,25,5,12,9,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.33,48-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,IMF,593,589,578,625,785,854,886,985,"1,206","1,504","1,603","1,786","1,854","1,927","1,873","2,163","1,766","1,752","1,875","1,913","2,827","4,021","4,380","3,834","3,860",724,"1,886","3,886","1/ From 2015 the expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
48,1.34,48-1.34,,,Travel,,,US$ Millions,1/,IMF,247,263,311,366,518,573,630,740,720,864,920,"1,048","1,105","1,166","1,118","1,362","1,035","1,059","1,175","1,208","2,705","3,846","4,245","3,689","3,681",673,"1,813","3,802",
48,1.35,48-1.35,,,Passenger transport,,,US$ Millions,1/,IMF,346,326,267,259,267,281,256,245,486,640,683,738,749,761,755,801,731,693,700,705,122,175,135,145,179,51,73,84,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.33,50-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,59,59,76,82,..,..,..,77,103,97,105,131,154,150,214,348,357,391,218,273,420,
50,1.34,50-1.34,,,Travel,,,US$ Millions,,IMF,25,33,62,52,50,50,48,57,57,67,75,79,76,75,70,81,87,103,129,153,150,214,341,353,388,217,272,419,
50,1.35,50-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,2,2,9,7,..,..,..,7,22,10,2,2,1,0.3,0.3,7,4,3,1,1,1,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.33,52-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,628,665,670,718,734,795,728,695,840,843,905,"1,068","1,198","1,203","1,076","1,041",984,947,988,910,974,"1,071","1,081","1,118","1,250",578,627,929,"1/ From 2017: the expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data used in the preparation of this edition of the Compendium."
52,1.34,52-1.34,,,Travel,,,US$ Millions,1/,IMF,620,657,661,709,724,785,719,687,831,834,897,"1,061","1,191","1,196","1,073","1,038",971,929,969,887,947,"1,038","1,081","1,118","1,250",578,627,929,
52,1.35,52-1.35,,,Passenger transport,,,US$ Millions,,IMF,8,8,9,9,10,10,9,8,9,9,8,7,7,7,3,3,13,18,19,23,27,33,..,..,..,..,..,..,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.33,112-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,28,61,40,54,92,188,272,295,339,362,346,401,479,585,563,665,747,986,"1,156","1,230","1,013","1,019","1,125","1,221","1,290",546,662,..,
112,1.34,112-1.34,,,Travel,,,US$ Millions,,IMF,23,55,25,22,12,93,211,234,267,270,253,286,324,363,370,440,487,685,791,868,729,711,801,883,901,359,427,..,
112,1.35,112-1.35,,,Passenger transport,,,US$ Millions,,IMF,5,6,15,32,80,95,61,61,72,92,93,115,155,222,193,225,260,301,365,362,284,308,324,338,389,187,235,..,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.33,56-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,"8,304","7,598","8,848","10,089","10,881","11,625","12,369",..,"12,718","12,680","14,114","13,704","14,534","15,249","8,975","8,784","9,636","10,319","10,516","7,227","7,336","8,737",1/ 1995-2000: country data.
56,1.34,56-1.34,,,Travel,,,US$ Millions,1/,IMF,"4,548","4,844","4,529","4,623","6,472","6,592","6,887","6,935","8,193","9,208","9,845","10,311","11,015","12,020","11,461","11,393","12,750","12,498","13,384","13,918","7,865","7,648","8,396","8,880","8,829","6,402","6,289","6,939",
56,1.35,56-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,"1,417",663,655,881,"1,036","1,314","1,354",..,"1,257","1,287","1,364","1,206","1,150","1,331","1,110","1,136","1,240","1,439","1,687",825,"1,047","1,798",
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.33,84-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,95,97,101,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,599,
84,1.34,84-1.34,,,Travel,,,US$ Millions,,IMF,78,93,95,99,101,111,111,121,150,168,214,260,289,278,256,264,248,298,351,380,372,391,427,479,527,247,374,599,
84,1.35,84-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,2,2,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.33,204-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,79,56,64,94,77,86,95,108,121,108,122,206,236,131,149,201,174,193,153,148,129,160,175,241,203,247,..,
204,1.34,204-1.34,,,Travel,,,US$ Millions,,IMF,85,79,56,64,94,77,85,93,106,118,103,116,206,236,131,149,180,170,189,151,141,123,150,162,240,200,244,..,
204,1.35,204-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,0,0,0,0,0,1,2,2,3,5,6,0.3,0.4,0.4,0.4,21,4,4,2,7,6,10,13,1,3,3,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.33,60-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,500,448,447,407,370,440,513,583,601,94,143,..,1/ 1995-2005: country data.
60,1.34,60-1.34,,,Travel,,,US$ Millions,1/,IMF,488,472,478,487,479,431,351,378,348,426,429,495,569,431,366,442,493,441,439,401,370,440,513,583,601,94,143,..,
60,1.35,60-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,8,6,..,..,..,..,..,..,..,..,
