INDEX,,,1. INBOUND TOURISM: Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Cruise passengers only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.19,533-1.19,,,Total,,,Thousands,,VF,912,957,947,906,972,"1,211","1,178","1,225","1,184","1,304","1,286","1,285","1,254","1,383","1,420","1,394","1,469","1,481","1,667","1,739","1,832","1,758","1,863","1,897","1,951",624,943,"1,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.20,533-1.20,,,,Air,,Thousands,,,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,"1,072","1,225","1,102","1,071","1,082","1,119",368,807,"1,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.21,533-1.21,,,,Water,,Thousands,1/,,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792,815,832,255,136,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.22,533-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,1/,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad and crew members.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.19,36-1.19,,,Total,,,Thousands,,,"3,726","4,164","4,318","4,167","4,460","4,931","4,856","4,841","4,746","5,215","5,499","5,533","5,645","5,585","5,490","5,790","5,771","6,033","6,482","6,922","7,449","8,269","8,815","9,246","9,466","1,828",246,"3,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.20,36-1.20,,,,Air,,Thousands,,,"3,712","4,149","4,305","4,146","4,427","4,904","4,832","4,819","4,730","5,201","5,486","5,514","5,619","5,558","5,464","5,772","5,760","6,017","6,386","6,865","7,387","8,209","8,743","9,167","9,387","1,789",246,"3,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.21,36-1.21,,,,Water,,Thousands,,,14,15,13,21,33,27,24,22,16,14,13,19,26,27,26,18,11,16,96,57,62,60,72,78,79,39,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.22,36-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.19,40-1.19,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.20,40-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.21,40-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.22,40-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.19,31-1.19,,,Total,,,Thousands,,VF,..,210,306,483,602,681,767,834,"1,038","1,279","1,177","1,193","1,332","1,899","1,830","1,963","2,239","2,484","2,509","2,298","2,007","2,249","2,697","2,850","3,170",796,792,"1,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.20,31-1.20,,,,Air,,Thousands,,,..,195,286,466,564,658,739,173,217,276,276,281,297,572,624,646,795,946,994,"1,089",969,"1,165","1,152","1,184","1,285",219,380,"1,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.21,31-1.21,,,,Water,,Thousands,,,..,1,3,1,1,1,2,2,6,8,10,9,9,15,13,14,20,21,27,16,32,17,19,28,25,20,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.22,31-1.22,,,,Land,,Thousands,,,..,14,17,16,37,22,26,659,815,995,891,903,"1,026","1,312","1,193","1,303","1,424","1,517","1,489","1,192","1,006","1,067","1,526","1,637","1,861",557,395,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.19,44-1.19,,,Total,,,Thousands,,VF,"3,239","3,416","3,446","3,348","3,648","4,203","4,183","4,406","4,594","5,004","4,779","4,731","4,601","4,394","4,645","5,255","5,588","5,940","6,151","6,320","6,112","6,265","6,136","6,622","7,250","1,795","2,101","7,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.20,44-1.20,,,,Air,,Thousands,,,"1,317","1,368","1,368","1,305","1,439","1,481","1,428","1,403","1,429","1,450","1,515","1,492","1,487","1,393","1,252","1,295","1,268","1,357","1,281","1,343","1,391","1,392","1,336","1,558","1,662",418,887,"1,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.21,44-1.21,,,,Water,,Thousands,,,"1,922","2,048","2,078","2,043","2,209","2,722","2,755","3,003","3,165","3,554","3,265","3,239","3,114","3,001","3,393","3,960","4,320","4,583","4,870","4,977","4,721","4,873","4,800","5,064","5,587","1,376","1,214","5,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.22,44-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2015, break in the series. Source: Inbound tourism survey. Excluding nationals residing abroad.
2/ Arrivals at Bahrain International Airport.
3/ Arrivals at Mina Salman Port
4/ Arrivals through King Fahad Causeway.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.19,48-1.19,,,Total,,,Thousands,1/,VF,..,"1,988","2,600","2,897","3,280","3,869","4,388","4,830","4,844","5,667","6,313","7,289","7,834","8,631","8,860","11,951","6,732","8,064","9,163","10,449","9,670","10,158","11,374","12,045","11,061","1,909","3,612","9,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.20,48-1.20,,,,Air,,Thousands,2/,,..,505,552,606,656,720,791,920,974,"1,176","1,301","1,544","1,642","1,855","1,941","2,280","1,521","1,628","1,615","1,706","1,048","1,069","1,197","1,151","1,221",299,393,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.21,48-1.21,,,,Water,,Thousands,3/,,..,2,4,5,5,6,9,13,8,7,5,12,53,80,94,143,55,55,66,59,40,56,69,81,134,51,7,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.22,48-1.22,,,,Land,,Thousands,4/,,..,"1,481","2,044","2,286","2,619","3,143","3,588","3,897","3,862","4,484","5,007","5,733","6,139","6,696","6,825","9,528","5,156","6,381","7,482","8,684","8,582","9,033","10,109","10,813","9,707","1,559","3,212","8,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.19,50-1.19,,,Total,,,Thousands,,TF,156,166,182,172,173,199,207,207,245,271,208,200,289,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.20,50-1.20,,,,Air,,Thousands,,,131,136,148,139,134,151,158,151,187,218,140,151,227,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.21,50-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
